Height,Weight,ADD/L,ADD/R,ABD/L,ABD/R,ER/L,ER/R,IR/L,IR/R,EXT/L,EXT/R,FLEX/L,FLEX/R,EB max force,EB mean force,EB sd force,EB max height,EB min height,EB mean height,BB
1.81,74.16,408.0,396.0,312.0,304.0,100.0,107.0,127.0,109.0,302.0,315.0,286.0,298.0,9.66,7.26686335403727,0.9068072984911479,8.0,7.0,7.58333333333333,9.0
1.65,60.75,246.0,251.0,244.0,270.0,76.0,71.0,103.0,100.0,227.0,186.0,213.0,188.0,8.0,6.07872670807453,0.6544760286819891,6.5,6.0,6.16666666666667,9.0
1.82,60.39,281.0,292.0,243.0,252.0,84.0,84.0,62.0,58.0,105.0,142.0,182.0,149.0,9.6,7.0654347826086905,0.8903627129046621,8.5,8.0,8.08333333333333,7.0
1.62,54.54,287.0,314.0,242.0,250.0,86.0,74.0,72.0,51.0,136.0,271.0,182.0,132.0,6.86,5.60121118012422,0.508542072375701,7.5,5.5,6.66666666666667,8.0
1.6,59.22,258.0,242.0,239.0,263.0,66.0,82.0,81.0,70.0,102.0,80.0,148.0,181.0,7.65,6.47130434782609,0.49229405192790204,7.5,6.5,7.16666666666667,8.0
1.53,47.43,238.0,252.0,248.0,240.0,80.0,72.0,114.0,87.0,263.0,195.0,177.0,194.0,9.45,7.36341614906833,0.747725194484823,8.0,8.0,8.0,8.5
1.56,52.74,255.0,240.0,272.0,242.0,71.0,70.0,100.0,96.0,250.0,294.0,193.0,155.0,9.96,7.62798136645963,0.9433733265767958,7.5,7.0,7.16666666666667,7.5
1.68,63.2,211.25,215.3,192.6,183.9,76.9,83.45,54.75,67.8,132.2,183.7,172.8,199.25,9.04,7.30304347826087,0.61679105605261,8.0,6.5,7.33333333333333,9.0
1.62,60.0,301.25,298.05,272.55,292.15,96.8,100.4,100.4,118.95,165.05,159.3,222.25,213.8,9.81,7.89618012422359,0.5843978756904499,7.0,6.5,6.91666666666667,8.0
1.6,48.99,202.05,219.0,160.6,163.0,62.5,78.6,94.6,90.8,196.85,171.25,127.1,117.35,7.2,6.21487577639751,0.422561706423307,8.5,8.0,8.25,8.5
1.75,65.54,265.8,270.5,245.85,234.2,103.45,113.1,122.6,103.9,211.2,238.15,211.5,190.05,11.4,9.81347826086955,0.647717546292486,9.5,8.0,8.58333333333333,9.5
1.6,48.81,193.2,208.7,190.5,162.3,81.65,84.4,93.25,79.0,119.95,107.55,108.45,126.3,10.41,7.53201863354037,1.10726317466511,7.5,7.0,7.25,9.5
1.68,58.97,300.95,322.9,277.25,269.3,82.75,90.05,90.8,84.3,117.75,124.65,171.6,168.45,9.92,7.791614906832289,0.7712524915735459,7.0,6.5,6.58333333333333,8.0
